,0
0,184.86519185399095
1,236.10285477052673
2,179.11404991685868
3,205.55348622173798
4,217.05411356395015
5,226.93095325659272
6,232.07904179954113
7,238.9868045141748
8,243.39501694283334
9,243.68757537296838
10,205.3997061662719
11,190.99789118163508
12,197.6033559598039
13,202.5217167244369
14,206.84020191922133
15,211.8771102205799
16,216.21939633944618
17,219.33245725283365
18,220.94138799724476
19,223.3981330588927
20,224.66826037664023
21,227.47427038670367
22,229.43166927323963
23,230.7262729288805
24,232.54034986073526
25,234.09281250330392
26,235.27568378526158
27,236.51846768373917
28,237.7670685188995
29,238.9352363689888
30,239.3833441561521
31,241.23194172610874
32,241.44049078806987
33,242.44131180118268
34,242.40351052506287
35,243.41337850456895
36,243.3854690923969
37,244.14786484116811
38,244.41106965013302
39,244.53419006167687
40,245.7405147884157
41,245.29834983183986
42,246.3691903165293
43,244.2020867685127
44,244.44391877181732
45,242.7658515967037
46,243.74589536199733
47,244.11020550175775
48,245.09047307993993
49,245.22538556118315
50,241.0092382324293
51,241.52888461160634
52,242.48866880137876
53,243.054859510523
54,243.5443227469702
55,244.31953079685022
56,244.1835501052616
57,244.94778122529164
58,244.91916572443603
59,245.08322939854526
60,246.04510707507984
61,246.24514613389985
62,244.51623214601625
63,244.46793032438472
64,244.98635367404285
65,244.9472714979278
66,245.19077676986657
67,244.93025000391887
68,245.45556306707473
69,245.63465701770977
70,245.76800203802972
71,245.8910249864446
72,245.3647266024271
73,244.5600635894667
74,245.0402782230071
75,245.35395128666042
76,243.06003710028568
77,243.19377526075033
78,243.75376977783145
79,243.70009249333253
80,243.81370350289177
81,244.43194016549356
82,240.44336035427665
83,239.95130324532957
84,240.67105370109275
85,240.45972557719645
86,240.66288092763324
87,240.781715706714
88,238.32423155151494
89,238.39222487594307
90,238.6209037148222
91,238.7218591812873
92,239.21305249535203
93,239.15530669651716
94,236.65820216771627
95,237.03294935931498
96,234.38589689440215
97,234.57561201481474
98,234.8917289255999
99,235.2078299388522
