,0
0,-18.496835091893004
1,256.7889429749167
2,243.6982399340109
3,287.6726283439801
4,268.566647278592
5,254.8741497938778
6,224.09287858661494
7,-139.93287251915945
8,291.71271083263537
9,260.81120126356
10,269.4240148032202
11,265.04078170105123
12,240.79060465021266
13,276.5059348410323
14,246.5233887153525
15,257.75897406478254
16,252.69608832228087
17,254.89875732879017
18,269.5044412111878
19,170.08054588141738
20,246.63254835203173
21,26.27972452220976
22,292.2452625861574
23,277.83121828408645
24,257.52889286114953
25,24.90629985849327
26,251.29939843591222
27,299.18539916932525
28,290.1870586255976
29,281.5554062302257
30,291.0151357660518
31,285.6548671096599
32,267.1371712568438
33,262.0740398921357
34,269.32557010576613
35,253.0397369842668
36,-82.96322249287955
37,253.30560296842648
38,305.8272900917653
39,227.0413498885918
40,275.62255549981046
41,255.53457032996025
42,263.16400538810353
43,288.67596991627727
44,278.6977417985771
45,252.7066434038199
46,273.6507030071658
47,265.7586924269765
48,276.60536273716406
49,285.01071222276005
50,286.6427357910786
51,263.0098465744343
52,277.019909449389
53,261.45074503209213
54,275.7521954878809
55,261.4095052247258
56,282.94440669520486
57,270.5841994687976
58,-185.17576529902203
59,276.2260926706297
60,290.73695142929205
61,249.69677047094453
62,269.1152126083116
63,199.1265072118831
64,292.7456388542555
65,301.45604156470296
66,232.27684388136026
67,299.9926840190975
68,272.17149285495265
69,-61.748434895123346
70,272.8358271715067
71,267.3573335207758
72,-54.560437868046755
73,251.645244722058
74,250.29675117070389
75,261.18320976953544
76,275.591232580226
77,273.8397066686551
78,276.6867640703096
79,225.7246146430848
80,266.11239353471717
81,256.23432976554705
82,270.02028162238764
83,224.36777371040867
84,183.5007607761636
85,254.8757462859841
86,222.43016050102383
87,-93.04172599148447
88,254.69670103452074
89,244.75038514506747
90,244.69528329968435
91,240.96786551125632
92,253.92695204511654
93,280.69701288788707
94,249.15875905366443
95,260.1756357073439
96,265.91305956154054
97,205.47891443364472
98,262.36579710329124
99,239.17776076113748
